,1,2,3
0,1,1,11
1,1,0,12
2,1,0,21
3,1,0,22
4,2,0,11
5,2,0,12
6,2,0,21
7,2,0,22
8,3,1,11
9,3,1,12
10,3,1,21
11,3,1,22
12,5,0,11
13,5,0,12
14,5,1,21
15,5,0,22
20,7,0,11
21,7,0,12
22,7,1,21
23,7,0,22
28,9,0,11
29,9,0,12
30,9,0,21
31,9,0,22
36,12,0,11
37,12,0,12
38,12,0,21
39,12,1,22
40,13,0,11
41,13,0,12
42,13,1,21
43,13,0,22
44,15,0,11
45,15,0,12
46,15,0,21
47,15,1,22
48,16,0,11
49,16,0,12
50,16,0,21
51,16,1,22
52,17,1,11
53,17,0,12
54,17,1,21
55,17,1,22
56,18,0,11
57,18,0,12
58,18,0,21
59,18,0,22
60,19,0,11
61,19,1,12
62,19,0,21
63,19,0,22
68,21,1,11
69,21,0,12
70,21,1,21
71,21,1,22
72,22,1,11
73,22,0,12
74,22,1,21
75,22,0,22
76,23,1,11
77,23,0,12
78,23,1,21
79,23,0,22
80,24,1,11
81,24,1,12
82,24,1,21
83,24,1,22
88,27,1,11
89,27,1,12
90,27,1,21
91,27,1,22
92,28,1,11
93,28,1,12
94,28,1,21
95,28,1,22
100,30,1,11
101,30,0,12
102,30,1,21
103,30,0,22
104,31,0,11
105,31,0,12
106,31,0,21
107,31,0,22
108,32,0,11
109,32,0,12
110,32,0,21
111,32,0,22
112,33,0,11
113,33,0,12
114,33,0,21
115,33,0,22
120,35,0,11
121,35,1,12
122,35,1,21
123,35,0,22
128,39,0,11
129,39,0,12
130,39,0,21
131,39,0,22
132,40,0,11
133,40,0,12
134,40,0,21
135,40,0,22
136,41,0,11
137,41,0,12
138,41,0,21
139,41,0,22
144,43,1,11
145,43,0,12
146,43,1,21
147,43,1,22
148,44,1,11
149,44,0,12
150,44,1,21
151,44,1,22
152,45,0,11
153,45,0,12
154,45,0,21
155,45,0,22
156,46,0,11
157,46,0,12
158,46,0,21
159,46,0,22
160,47,0,11
161,47,0,12
162,47,0,21
163,47,0,22
164,48,1,11
165,48,0,12
166,48,0,21
167,48,0,22
168,49,0,11
169,49,0,12
170,49,0,21
171,49,0,22
172,50,0,11
173,50,1,12
174,50,1,21
175,50,0,22
176,51,1,11
177,51,1,12
178,51,0,21
179,51,1,22
188,54,0,11
189,54,0,12
190,54,0,21
191,54,0,22
192,56,1,11
193,56,1,12
194,56,1,21
195,56,1,22
196,57,0,11
197,57,1,12
198,57,1,21
199,57,0,22
200,58,0,11
201,58,1,12
202,58,1,21
203,58,1,22
204,59,1,11
205,59,1,12
206,59,1,21
207,59,1,22
208,60,0,11
209,60,0,12
210,60,1,21
211,60,0,22
216,62,1,11
217,62,1,12
218,62,1,21
219,62,1,22
220,63,0,11
221,63,0,12
222,63,0,21
223,63,0,22
224,64,0,11
225,64,0,12
226,64,0,21
227,64,0,22
228,65,1,11
229,65,0,12
230,65,1,21
231,65,0,22
236,67,0,11
237,67,0,12
238,67,0,21
239,67,0,22
244,69,0,11
245,69,0,12
246,69,0,21
247,69,0,22
248,71,0,11
249,71,0,12
250,71,0,21
251,71,0,22
252,72,1,11
253,72,0,12
254,72,0,21
255,72,1,22
256,73,1,11
257,73,1,12
258,73,0,21
259,73,0,22
260,74,1,11
261,74,0,12
262,74,1,21
263,74,1,22
264,75,0,11
265,75,0,12
266,75,1,21
267,75,0,22
268,77,0,11
269,77,1,12
270,77,0,21
271,77,1,22
272,78,1,11
273,78,1,12
274,78,1,21
275,78,1,22
276,79,0,11
277,79,0,12
278,79,0,21
279,79,1,22
280,80,1,11
281,80,0,12
282,80,0,21
283,80,0,22
284,81,0,11
285,81,0,12
286,81,0,21
287,81,0,22
292,83,0,11
293,83,0,12
294,83,0,21
